smiles	kegg_id
CC12CCC([O-])CC1=CCC1C2CCC2(C)C(O)CCC12	['C04295']
CC12CCC([O-])CC1=CCC1C2CCC2(C)C([O-])CCC12	['C04295']
CC12CCC3C(CC=C4CC([O-])CCC43C)C1CCC2=O	['C01227']
CC12CCC3C(CCC4CC(=O)CCC43C)C1CCC2[O-]	['C03917', 'C05293']
CC12CCC3C(CCC4CC(O)CCC43C)C1CCC2[O-]	['C03852']
CC12CCC3C(CCC4CC([O-])CCC43C)C1CCC2=O	['C00523', 'C04373', 'C07635']
CC12CCC3C(CCC4CC([O-])CCC43C)C1CCC2O	['C03852']
CC12CCC3C(CCC4CC([O-])CCC43C)C1CCC2[O-]	['C03852']
CC12CCC3C4=CC(=O)C(=O)C=C4CCC3C1CCC2[O-]	['C22357']
CC12CCC3c4cc(O)c([O-])cc4CCC3C1CCC2=O	['C05298']
CC12CCC3c4cc([O-])c(O)cc4CCC3C1CCC2=O	['C05298']
CC12CCC3c4cc([O-])c([O-])cc4CCC3C1CCC2=O	['C05298']
CC12CCC3c4ccc([O-])cc4CCC3C1CC(O)C2=O	['C05300', 'C05300']
CC12CCC3c4ccc([O-])cc4CCC3C1CC([O-])C2=O	['C05300']
CC12CCC3c4ccc([O-])cc4CCC3C1CCC2=O	['C00468']
CC12CCC3c4ccc([O-])cc4CCC3C1CCC2O	['C00951', 'C00951', 'C02537', 'C02537']
CC12CCC3c4ccc([O-])cc4CCC3C1CCC2[O-]	['C00951', 'C02537']
CC12CCCC([O-])(C1)C1CC(C)(C)C1CC2	['C19974']
